Listing images...
Listing images...
Listed
Length: 1300000
Start train
Train: [1][10/5079]	BT 0.297 (3.212)	DT 0.000 (2.315)	loss 8.897 (8.906)
Train: [1][20/5079]	BT 0.297 (2.235)	DT 0.000 (1.643)	loss 8.897 (8.902)
Train: [1][30/5079]	BT 0.298 (1.590)	DT 0.000 (1.096)	loss 8.880 (8.899)
Train: [1][40/5079]	BT 0.297 (1.610)	DT 0.000 (1.168)	loss 8.846 (8.891)
Train: [1][50/5079]	BT 0.305 (1.643)	DT 0.000 (1.230)	loss 8.807 (8.880)
Train: [1][60/5079]	BT 0.300 (1.428)	DT 0.000 (1.035)	loss 8.806 (8.863)
Train: [1][70/5079]	BT 0.315 (1.476)	DT 0.000 (1.096)	loss 8.831 (8.851)
Train: [1][80/5079]	BT 0.299 (1.329)	DT 0.000 (0.959)	loss 8.714 (8.841)
Train: [1][90/5079]	BT 0.299 (1.358)	DT 0.000 (0.996)	loss 8.752 (8.831)
Train: [1][100/5079]	BT 0.298 (1.383)	DT 0.000 (1.028)	loss 8.689 (8.822)
Train: [1][110/5079]	BT 0.305 (1.285)	DT 0.000 (0.935)	loss 8.770 (8.813)
Train: [1][120/5079]	BT 0.299 (1.317)	DT 0.000 (0.972)	loss 8.732 (8.805)
Train: [1][130/5079]	BT 0.301 (1.312)	DT 0.000 (0.968)	loss 8.727 (8.798)
Train: [1][140/5079]	BT 0.298 (1.256)	DT 0.000 (0.915)	loss 8.625 (8.792)
Train: [1][150/5079]	BT 0.298 (1.271)	DT 0.000 (0.933)	loss 8.674 (8.785)
Train: [1][160/5079]	BT 0.299 (1.211)	DT 0.000 (0.875)	loss 8.694 (8.779)
Train: [1][170/5079]	BT 0.298 (1.229)	DT 0.000 (0.895)	loss 8.569 (8.769)
Train: [1][180/5079]	BT 0.303 (1.248)	DT 0.000 (0.917)	loss 8.661 (8.762)
Train: [1][190/5079]	BT 0.299 (1.198)	DT 0.000 (0.869)	loss 8.631 (8.755)
Train: [1][200/5079]	BT 0.299 (1.208)	DT 0.000 (0.880)	loss 8.585 (8.748)
Train: [1][210/5079]	BT 0.305 (1.203)	DT 0.000 (0.877)	loss 8.633 (8.742)
Train: [1][220/5079]	BT 0.294 (1.179)	DT 0.000 (0.854)	loss 8.581 (8.734)
Train: [1][230/5079]	BT 0.297 (1.180)	DT 0.000 (0.857)	loss 8.622 (8.728)
Train: [1][240/5079]	BT 0.299 (1.144)	DT 0.000 (0.821)	loss 8.405 (8.718)
Train: [1][250/5079]	BT 0.299 (1.147)	DT 0.000 (0.826)	loss 8.456 (8.708)
Train: [1][260/5079]	BT 0.298 (1.150)	DT 0.000 (0.830)	loss 8.410 (8.699)
Train: [1][270/5079]	BT 0.298 (1.120)	DT 0.000 (0.799)	loss 8.412 (8.688)
Train: [1][280/5079]	BT 0.299 (1.124)	DT 0.000 (0.804)	loss 8.501 (8.677)
Train: [1][290/5079]	BT 0.302 (1.125)	DT 0.000 (0.806)	loss 8.315 (8.668)
Train: [1][300/5079]	BT 0.300 (1.100)	DT 0.000 (0.782)	loss 8.403 (8.659)
Train: [1][310/5079]	BT 0.299 (1.099)	DT 0.000 (0.781)	loss 8.394 (8.651)
Train: [1][320/5079]	BT 0.482 (1.075)	DT 0.230 (0.758)	loss 8.383 (8.642)
Train: [1][330/5079]	BT 0.300 (1.078)	DT 0.000 (0.761)	loss 8.197 (8.632)
Train: [1][340/5079]	BT 0.299 (1.079)	DT 0.000 (0.763)	loss 8.286 (8.623)
Train: [1][350/5079]	BT 0.299 (1.056)	DT 0.000 (0.741)	loss 8.322 (8.615)
Train: [1][360/5079]	BT 0.298 (1.058)	DT 0.000 (0.743)	loss 8.225 (8.606)
Train: [1][370/5079]	BT 0.297 (1.057)	DT 0.000 (0.743)	loss 8.262 (8.600)
Train: [1][380/5079]	BT 0.299 (1.038)	DT 0.000 (0.724)	loss 8.249 (8.591)
Train: [1][390/5079]	BT 0.298 (1.039)	DT 0.000 (0.726)	loss 8.110 (8.581)
Train: [1][400/5079]	BT 0.297 (1.021)	DT 0.000 (0.708)	loss 8.146 (8.573)
