Listing images...
Listed
Length: 1300000
Start train
Train: [1][10/5079]	BT 0.524 (6.392)	DT 0.000 (4.974)	loss 8.904 (8.910)
Train: [1][20/5079]	BT 0.300 (4.301)	DT 0.000 (3.397)	loss 8.901 (8.905)
Train: [1][30/5079]	BT 0.376 (2.981)	DT 0.000 (2.264)	loss 8.891 (8.900)
Train: [1][40/5079]	BT 0.281 (3.041)	DT 0.000 (2.429)	loss 8.834 (8.892)
Train: [1][50/5079]	BT 1.475 (3.037)	DT 1.239 (2.487)	loss 8.824 (8.883)
Train: [1][60/5079]	BT 0.284 (2.619)	DT 0.000 (2.105)	loss 8.825 (8.875)
Train: [1][70/5079]	BT 0.280 (2.682)	DT 0.000 (2.193)	loss 8.842 (8.870)
Train: [1][80/5079]	BT 0.284 (2.386)	DT 0.000 (1.919)	loss 8.810 (8.865)
Train: [1][90/5079]	BT 0.283 (2.465)	DT 0.000 (2.013)	loss 8.800 (8.859)
Train: [1][100/5079]	BT 1.159 (2.549)	DT 0.583 (2.106)	loss 8.820 (8.856)
Train: [1][110/5079]	BT 0.281 (2.349)	DT 0.000 (1.915)	loss 8.774 (8.852)
Train: [1][120/5079]	BT 0.288 (2.433)	DT 0.000 (2.000)	loss 8.841 (8.850)
Train: [1][130/5079]	BT 0.373 (2.450)	DT 0.000 (2.006)	loss 8.806 (8.848)
Train: [1][140/5079]	BT 0.541 (2.336)	DT 0.000 (1.896)	loss 8.785 (8.845)
Train: [1][150/5079]	BT 0.263 (2.376)	DT 0.001 (1.941)	loss 8.846 (8.844)
Train: [1][160/5079]	BT 0.403 (2.250)	DT 0.000 (1.819)	loss 8.814 (8.842)
Train: [1][170/5079]	BT 0.405 (2.307)	DT 0.000 (1.881)	loss 8.808 (8.841)
Train: [1][180/5079]	BT 3.462 (2.351)	DT 3.217 (1.931)	loss 8.819 (8.839)
Train: [1][190/5079]	BT 0.335 (2.245)	DT 0.000 (1.830)	loss 8.791 (8.838)
Train: [1][200/5079]	BT 0.410 (2.290)	DT 0.000 (1.880)	loss 8.822 (8.837)
Train: [1][210/5079]	BT 0.386 (2.303)	DT 0.000 (1.896)	loss 8.825 (8.836)
Train: [1][220/5079]	BT 0.295 (2.235)	DT 0.000 (1.833)	loss 8.804 (8.835)
Train: [1][230/5079]	BT 0.290 (2.278)	DT 0.000 (1.879)	loss 8.811 (8.833)
Train: [1][240/5079]	BT 0.303 (2.196)	DT 0.001 (1.801)	loss 8.820 (8.831)
Train: [1][250/5079]	BT 0.243 (2.232)	DT 0.000 (1.837)	loss 8.790 (8.830)
Train: [1][260/5079]	BT 4.852 (2.263)	DT 4.393 (1.871)	loss 8.820 (8.829)
Train: [1][270/5079]	BT 0.292 (2.205)	DT 0.000 (1.802)	loss 8.825 (8.827)
Train: [1][280/5079]	BT 0.495 (2.224)	DT 0.000 (1.822)	loss 8.767 (8.826)
Train: [1][290/5079]	BT 0.310 (2.218)	DT 0.000 (1.812)	loss 8.840 (8.825)
Train: [1][300/5079]	BT 0.291 (2.175)	DT 0.000 (1.772)	loss 8.756 (8.823)
Train: [1][310/5079]	BT 0.276 (2.201)	DT 0.000 (1.800)	loss 8.782 (8.822)
Train: [1][320/5079]	BT 0.281 (2.142)	DT 0.000 (1.744)	loss 8.714 (8.820)
Train: [1][330/5079]	BT 0.300 (2.174)	DT 0.000 (1.779)	loss 8.749 (8.818)
Train: [1][340/5079]	BT 0.485 (2.202)	DT 0.000 (1.809)	loss 8.760 (8.817)
Train: [1][350/5079]	BT 0.286 (2.148)	DT 0.000 (1.757)	loss 8.735 (8.815)
Train: [1][360/5079]	BT 0.316 (2.172)	DT 0.000 (1.782)	loss 8.770 (8.813)
Train: [1][370/5079]	BT 0.368 (2.174)	DT 0.000 (1.785)	loss 8.689 (8.811)
